driver_id,carno,initials,name,season,accidents,failures
1,44,HAM,Lewis Hamilton,2014,0.0,3.0
1,44,HAM,Lewis Hamilton,2015,0.0,1.0
1,44,HAM,Lewis Hamilton,2016,1.0,1.0
1,44,HAM,Lewis Hamilton,2017,0.0,0.0
1,44,HAM,Lewis Hamilton,2018,0.0,1.0
1,44,HAM,Lewis Hamilton,2019,0.0,0.0
2,3,RIC,Daniel Ricciardo,2014,0.0,2.0
2,3,RIC,Daniel Ricciardo,2015,0.0,2.0
2,3,RIC,Daniel Ricciardo,2016,0.0,0.0
2,3,RIC,Daniel Ricciardo,2017,1.0,5.0
2,3,RIC,Daniel Ricciardo,2018,1.0,7.0
2,3,RIC,Daniel Ricciardo,2019,1.0,3.0
3,6,ROS,Nico Rosberg,2014,0.0,2.0
3,6,ROS,Nico Rosberg,2015,0.0,1.0
3,6,ROS,Nico Rosberg,2016,1.0,0.0
3,6,ROS,Nico Rosberg,2017,,
3,6,ROS,Nico Rosberg,2018,,
3,6,ROS,Nico Rosberg,2019,,
4,20,MAG,Kevin Magnussen,2014,0.0,1.0
4,20,MAG,Kevin Magnussen,2015,0.0,0.0
4,20,MAG,Kevin Magnussen,2016,2.0,2.0
4,20,MAG,Kevin Magnussen,2017,1.0,4.0
4,20,MAG,Kevin Magnussen,2018,0.0,2.0
4,20,MAG,Kevin Magnussen,2019,1.0,0.0
5,14,ALO,Fernando Alonso,2014,0.0,2.0
5,14,ALO,Fernando Alonso,2015,1.0,6.0
5,14,ALO,Fernando Alonso,2016,1.0,2.0
5,14,ALO,Fernando Alonso,2017,2.0,6.0
5,14,ALO,Fernando Alonso,2018,2.0,4.0
5,14,ALO,Fernando Alonso,2019,,
6,25,VER,Jean-Eric Vergne,2014,0.0,5.0
6,25,VER,Jean-Eric Vergne,2015,,
6,25,VER,Jean-Eric Vergne,2016,,
6,25,VER,Jean-Eric Vergne,2017,,
6,25,VER,Jean-Eric Vergne,2018,,
6,25,VER,Jean-Eric Vergne,2019,,
7,27,HUL,Nico Hulkenberg,2014,1.0,1.0
7,27,HUL,Nico Hulkenberg,2015,3.0,3.0
7,27,HUL,Nico Hulkenberg,2016,2.0,2.0
7,27,HUL,Nico Hulkenberg,2017,1.0,5.0
7,27,HUL,Nico Hulkenberg,2018,4.0,3.0
7,27,HUL,Nico Hulkenberg,2019,1.0,0.0
8,26,KVY,Daniil Kvyat,2014,0.0,5.0
